From,To
Basic cell groups and regions,Cerebrum
Basic cell groups and regions,Brain stem
Basic cell groups and regions,Cerebellum
fiber tracts,cranial nerves
fiber tracts,cerebellum related fiber tracts
fiber tracts,supra-callosal cerebral white matter
fiber tracts,lateral forebrain bundle system
fiber tracts,extrapyramidal fiber systems
fiber tracts,medial forebrain bundle system
ventricular systems,lateral ventricle
ventricular systems,third ventricle
ventricular systems,cerebral aqueduct
ventricular systems,fourth ventricle
ventricular systems,"central canal, spinal cord/medulla"
Cerebrum,Cerebral cortex
Cerebrum,Cerebral nuclei
Brain stem,Interbrain
Brain stem,Midbrain
Brain stem,Hindbrain
Cerebellum,Cerebellar cortex
Cerebellum,Cerebellar nuclei
cranial nerves,vomeronasal nerve
cranial nerves,olfactory nerve
cranial nerves,optic nerve
cranial nerves,oculomotor nerve
cranial nerves,trochlear nerve
cranial nerves,trigeminal nerve
cranial nerves,facial nerve
cranial nerves,vestibulocochlear nerve
cranial nerves,vagus nerve
cranial nerves,dorsal roots
cerebellum related fiber tracts,cerebellar commissure
cerebellum related fiber tracts,cerebellar peduncles
cerebellum related fiber tracts,arbor vitae
lateral forebrain bundle system,corpus callosum
lateral forebrain bundle system,corticospinal tract
lateral forebrain bundle system,thalamus related
extrapyramidal fiber systems,cerebral nuclei related
extrapyramidal fiber systems,tectospinal pathway
extrapyramidal fiber systems,rubrospinal tract
medial forebrain bundle system,cerebrum related
medial forebrain bundle system,hypothalamus related
lateral ventricle,subependymal zone
lateral ventricle,choroid plexus
fourth ventricle,lateral recess
Cerebral cortex,Cortical plate
Cerebral cortex,Cortical subplate
Cerebral nuclei,Striatum
Cerebral nuclei,Pallidum
Interbrain,Thalamus
Interbrain,Hypothalamus
Midbrain,"Midbrain, sensory related"
Midbrain,"Midbrain, motor related"
Midbrain,"Midbrain, behavioral state related"
Hindbrain,Pons
Hindbrain,Medulla
Cerebellar cortex,Vermal regions
Cerebellar cortex,Hemispheric regions
Cerebellar nuclei,Fastigial nucleus
Cerebellar nuclei,Interposed nucleus
Cerebellar nuclei,Dentate nucleus
Cerebellar nuclei,Vestibulocerebellar nucleus
olfactory nerve,olfactory nerve layer of main olfactory bulb
olfactory nerve,"lateral olfactory tract, general"
olfactory nerve,"anterior commissure, olfactory limb"
optic nerve,brachium of the superior colliculus
optic nerve,superior colliculus commissure
optic nerve,optic chiasm
optic nerve,optic tract
oculomotor nerve,medial longitudinal fascicle
oculomotor nerve,posterior commissure
trigeminal nerve,motor root of the trigeminal nerve
trigeminal nerve,sensory root of the trigeminal nerve
facial nerve,genu of the facial nerve
vestibulocochlear nerve,vestibular nerve
vestibulocochlear nerve,cochlear nerve
vagus nerve,solitary tract
dorsal roots,cervicothalamic tract
cerebellar peduncles,superior cerebelar peduncles
cerebellar peduncles,middle cerebellar peduncle
cerebellar peduncles,inferior cerebellar peduncle
corpus callosum,"corpus callosum, anterior forceps"
corpus callosum,"corpus callosum, extreme capsule"
corpus callosum,genu of corpus callosum
corpus callosum,"corpus callosum, posterior forceps"
corpus callosum,"corpus callosum, body"
corpus callosum,"corpus callosum, splenium"
corticospinal tract,internal capsule
corticospinal tract,cerebal peduncle
corticospinal tract,pyramid
corticospinal tract,pyramidal decussation
thalamus related,external medullary lamina of the thalamus
thalamus related,optic radiation
thalamus related,auditory radiation
cerebral nuclei related,nigrostriatal tract
tectospinal pathway,direct tectospinal pathway
tectospinal pathway,doral tegmental decussation
tectospinal pathway,crossed tectospinal pathway
rubrospinal tract,ventral tegmental decussation
cerebrum related,amygdalar capsule
cerebrum related,"anterior commissure, temporal limb"
cerebrum related,cingulum bundle
cerebrum related,fornix system
cerebrum related,stria terminalis
hypothalamus related,medial forebrain bundle
hypothalamus related,supraoptic commissures
hypothalamus related,mammillary related
hypothalamus related,epithalamus related
Cortical plate,Isocortex
Cortical plate,Olfactory areas
Cortical plate,Hippocampal formation
Cortical subplate,Claustrum
Cortical subplate,Endopiriform nucleus
Cortical subplate,Lateral amygdalar nucleus
Cortical subplate,Basolateral amygdalar nucleus
Cortical subplate,Basomedial amygdalar nucleus
Cortical subplate,Posterior amygdalar nucleus
Striatum,Striatum dorsal region
Striatum,Striatum ventral region
Striatum,Lateral septal complex
Striatum,Striatum-like amygdalar nuclei
Pallidum,"Pallidum, dorsal region"
Pallidum,"Pallidum, ventral region"
Pallidum,"Pallidum, medial region"
Pallidum,"Pallidum, caudal region"
Thalamus,"Thalamus, sensory-motor cortex related"
Thalamus,"Thalamus, polymodal association cortex related"
Hypothalamus,Periventricular zone
Hypothalamus,Periventricular region
Hypothalamus,Hypothalamic medial zone
Hypothalamus,Hypothalamic lateral zone
Hypothalamus,Median eminence
"Midbrain, sensory related","Superior colliculus, sensory related"
"Midbrain, sensory related",Inferior colliculus
"Midbrain, sensory related",Nucleus of the brachium of the inferior colliculus
"Midbrain, sensory related",Nucleus sagulum
"Midbrain, sensory related",Parabigeminal nucleus
"Midbrain, sensory related",Midbrain trigeminal nucleus
"Midbrain, sensory related",Subcommissural organ
"Midbrain, motor related","Substantia nigra, reticular part"
"Midbrain, motor related",Ventral tegmental area
"Midbrain, motor related",Paranigral nucleus
"Midbrain, motor related","Midbrain reticular nucleus, retrorubral area"
"Midbrain, motor related",Midbrain reticular nucleus
"Midbrain, motor related","Superior colliculus, motor related"
"Midbrain, motor related",Periaqueductal gray
"Midbrain, motor related",Pretectal region
"Midbrain, motor related",Cuneiform nucleus
"Midbrain, motor related",Red nucleus
"Midbrain, motor related",Oculomotor nucleus
"Midbrain, motor related",Medial accesory oculomotor nucleus
"Midbrain, motor related",Edinger-Westphal nucleus
"Midbrain, motor related",Trochlear nucleus
"Midbrain, motor related",Paratrochlear nucleus
"Midbrain, motor related",Ventral tegmental nucleus
"Midbrain, motor related",Anterior tegmental nucleus
"Midbrain, motor related",Lateral terminal nucleus of the accessory optic tract
"Midbrain, motor related",Dorsal terminal nucleus of the accessory optic tract
"Midbrain, motor related",Medial terminal nucleus of the accessory optic tract
"Midbrain, behavioral state related","Substantia nigra, compact part"
"Midbrain, behavioral state related",Pedunculopontine nucleus
"Midbrain, behavioral state related",Midbrain raphe nuclei
Pons,"Pons, sensory related"
Pons,"Pons, motor related"
Pons,"Pons, behavioral state related"
Medulla,"Medulla, sensory related"
Medulla,"Medulla, motor related"
Medulla,"Medulla, behavioral state related"
Vermal regions,Lingula (I)
Vermal regions,Central lobule
Vermal regions,Culmen
Vermal regions,Declive (VI)
Vermal regions,Folium-tuber vermis (VII)
Vermal regions,Pyramus (VIII)
Vermal regions,Uvula (IX)
Vermal regions,Nodulus (X)
Hemispheric regions,Simple lobule
Hemispheric regions,Ansiform lobule
Hemispheric regions,Paramedian lobule
Hemispheric regions,Copula pyramidis
Hemispheric regions,Paraflocculus
Hemispheric regions,Flocculus
"lateral olfactory tract, general","lateral olfactory tract, body"
"lateral olfactory tract, general",dorsal limb
sensory root of the trigeminal nerve,spinal tract of the trigeminal nerve
cochlear nerve,trapezoid body
cochlear nerve,dorsal acoustic stria
cochlear nerve,lateral lemniscus
cochlear nerve,inferior colliculus commissure
cochlear nerve,brachium of the inferior colliculus
cervicothalamic tract,dorsal column
cervicothalamic tract,medial lemniscus
superior cerebelar peduncles,superior cerebellar peduncle decussation
superior cerebelar peduncles,uncinate fascicle
superior cerebelar peduncles,ventral spinocerebellar tract
inferior cerebellar peduncle,dorsal spinocerebellar tract
"corpus callosum, anterior forceps",external capsule
fornix system,alveus
fornix system,dorsal fornix
fornix system,fimbria
fornix system,postcommissural fornix
fornix system,hippocampal commissures
stria terminalis,commissural branch of stria terminalis
mammillary related,principal mammillary tract
mammillary related,mammillothalamic tract
mammillary related,mammillotegmental tract
mammillary related,mammillary peduncle
epithalamus related,stria medullaris
epithalamus related,fasciculus retroflexus
epithalamus related,habenular commissure
Isocortex,"Frontal pole, cerebral cortex"
Isocortex,Somatomotor areas
Isocortex,Somatosensory areas
Isocortex,Gustatory areas
Isocortex,Visceral area
Isocortex,Auditory areas
Isocortex,Visual areas
Isocortex,Anterior cingulate area
Isocortex,Prelimbic area
Isocortex,Infralimbic area
Isocortex,Orbital area
Isocortex,Agranular insular area
Isocortex,Retrosplenial area
Isocortex,Posterior parietal association areas
Isocortex,Temporal association areas
Isocortex,Perirhinal area
Isocortex,Ectorhinal area
Olfactory areas,Main olfactory bulb
Olfactory areas,Accessory olfactory bulb
Olfactory areas,Anterior olfactory nucleus
Olfactory areas,Taenia tecta
Olfactory areas,Dorsal peduncular area
Olfactory areas,Piriform area
Olfactory areas,Nucleus of the lateral olfactory tract
Olfactory areas,Cortical amygdalar area
Olfactory areas,Piriform-amygdalar area
Olfactory areas,Postpiriform transition area
Hippocampal formation,Hippocampal region
Hippocampal formation,Retrohippocampal region
Endopiriform nucleus,"Endopiriform nucleus, dorsal part"
Endopiriform nucleus,"Endopiriform nucleus, ventral part"
Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, anterior part"
Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, posterior part"
Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, ventral part"
