name
root
Basic cell groups and regions
fiber tracts
ventricular systems
Cerebrum
Brain stem
Cerebellum
cranial nerves
cerebellum related fiber tracts
"Frontal pole, layer 1"
"Frontal pole, layer 2/3"
"Frontal pole, layer 5"
"Frontal pole, layer 6a"
"Frontal pole, layer 6b"
"Primary motor area, Layer 1"
"Primary motor area, Layer 2/3"
"Primary motor area, Layer 5"
"Primary motor area, Layer 6a"
"Primary motor area, Layer 6b"
"Secondary motor area, layer 1"
"Secondary motor area, layer 2/3"
"Secondary motor area, layer 5"
"Secondary motor area, layer 6a"
"Secondary motor area, layer 6b"
"Primary somatosensory area, nose, layer 1"
"Primary somatosensory area, nose, layer 2/3"
"Primary somatosensory area, nose, layer 4"
"Primary somatosensory area, nose, layer 5"
"Primary somatosensory area, nose, layer 6a"
"Primary somatosensory area, nose, layer 6b"
"Primary somatosensory area, barrel field, layer 1"
"Primary somatosensory area, barrel field, layer 2/3"
"Primary somatosensory area, barrel field, layer 4"
"Primary somatosensory area, barrel field, layer 5"
"Primary somatosensory area, barrel field, layer 6a"
"Primary somatosensory area, barrel field, layer 6b"
"Primary somatosensory area, lower limb, layer 1"
"Primary somatosensory area, lower limb, layer 2/3"
"Primary somatosensory area, lower limb, layer 4"
"Primary somatosensory area, lower limb, layer 5"
"Primary somatosensory area, lower limb, layer 6a"
"Primary somatosensory area, lower limb, layer 6b"
"Primary somatosensory area, mouth, layer 1"
"Primary somatosensory area, mouth, layer 2/3"
"Primary somatosensory area, mouth, layer 4"
"Primary somatosensory area, mouth, layer 5"
"Primary somatosensory area, mouth, layer 6a"
"Primary somatosensory area, mouth, layer 6b"
"Primary somatosensory area, upper limb, layer 1"
"Primary somatosensory area, upper limb, layer 2/3"
"Primary somatosensory area, upper limb, layer 4"
"Primary somatosensory area, upper limb, layer 5"
"Primary somatosensory area, upper limb, layer 6a"
"Primary somatosensory area, upper limb, layer 6b"
"Primary somatosensory area, trunk, layer 1"
"Primary somatosensory area, trunk, layer 2/3"
"Primary somatosensory area, trunk, layer 4"
"Primary somatosensory area, trunk, layer 5"
"Primary somatosensory area, trunk, layer 6a"
"Primary somatosensory area, trunk, layer 6b"
"Primary somatosensory area, unassigned, layer 1"
"Primary somatosensory area, unassigned, layer 2/3"
"Primary somatosensory area, unassigned, layer 4"
"Primary somatosensory area, unassigned, layer 5"
"Primary somatosensory area, unassigned, layer 6a"
"Primary somatosensory area, unassigned, layer 6b"
"Supplemental somatosensory area, layer 1"
"Supplemental somatosensory area, layer 2/3"
"Supplemental somatosensory area, layer 4"
"Supplemental somatosensory area, layer 5"
"Supplemental somatosensory area, layer 6a"
"Supplemental somatosensory area, layer 6b"
"Gustatory areas, layer 1"
"Gustatory areas, layer 2/3"
"Gustatory areas, layer 4"
"Gustatory areas, layer 5"
"Gustatory areas, layer 6a"
"Gustatory areas, layer 6b"
"Visceral area, layer 1"
"Visceral area, layer 2/3"
"Visceral area, layer 4"
"Visceral area, layer 5"
"Visceral area, layer 6a"
"Visceral area, layer 6b"
"Dorsal auditory area, layer 1"
"Dorsal auditory area, layer 2/3"
"Dorsal auditory area, layer 4"
"Dorsal auditory area, layer 5"
"Dorsal auditory area, layer 6a"
"Dorsal auditory area, layer 6b"
"Primary auditory area, layer 1"
"Primary auditory area, layer 2/3"
"Primary auditory area, layer 4"
"Primary auditory area, layer 5"
"Primary auditory area, layer 6a"
"Primary auditory area, layer 6b"
"Posterior auditory area, layer 1"
"Posterior auditory area, layer 2/3"
"Posterior auditory area, layer 4"
"Posterior auditory area, layer 5"
"Posterior auditory area, layer 6a"
"Posterior auditory area, layer 6b"
"Ventral auditory area, layer 1"
"Ventral auditory area, layer 2/3"
"Ventral auditory area, layer 4"
"Ventral auditory area, layer 5"
"Ventral auditory area, layer 6a"
"Ventral auditory area, layer 6b"
"Anterolateral visual area, layer 1"
"Anterolateral visual area, layer 2/3"
"Anterolateral visual area, layer 4"
"Anterolateral visual area, layer 5"
"Anterolateral visual area, layer 6a"
"Anterolateral visual area, layer 6b"
"Anteromedial visual area, layer 1"
"Anteromedial visual area, layer 2/3"
"Anteromedial visual area, layer 4"
"Anteromedial visual area, layer 5"
"Anteromedial visual area, layer 6a"
"Anteromedial visual area, layer 6b"
"Lateral visual area, layer 1"
"Lateral visual area, layer 2/3"
"Lateral visual area, layer 4"
"Lateral visual area, layer 5"
"Lateral visual area, layer 6a"
"Lateral visual area, layer 6b"
"Primary visual area, layer 1"
"Primary visual area, layer 2/3"
"Primary visual area, layer 4"
"Primary visual area, layer 5"
"Primary visual area, layer 6a"
"Primary visual area, layer 6b"
"Posterolateral visual area, layer 1"
"Posterolateral visual area, layer 2/3"
"Posterolateral visual area, layer 4"
"Posterolateral visual area, layer 5"
"Posterolateral visual area, layer 6a"
"Posterolateral visual area, layer 6b"
"posteromedial visual area, layer 1"
"posteromedial visual area, layer 2/3"
"posteromedial visual area, layer 4"
"posteromedial visual area, layer 5"
"posteromedial visual area, layer 6a"
"posteromedial visual area, layer 6b"
"Laterointermediate area, layer 1"
"Laterointermediate area, layer 2/3"
"Laterointermediate area, layer 4"
"Laterointermediate area, layer 5"
"Laterointermediate area, layer 6a"
"Laterointermediate area, layer 6b"
"Postrhinal area, layer 1"
"Postrhinal area, layer 2/3"
"Postrhinal area, layer 4"
"Postrhinal area, layer 5"
"Postrhinal area, layer 6a"
"Postrhinal area, layer 6b"
"Anterior cingulate area, dorsal part, layer 1"
"Anterior cingulate area, dorsal part, layer 2/3"
"Anterior cingulate area, dorsal part, layer 5"
"Anterior cingulate area, dorsal part, layer 6a"
"Anterior cingulate area, dorsal part, layer 6b"
"Anterior cingulate area, ventral part, layer 1"
"Anterior cingulate area, ventral part, layer 2/3"
"Anterior cingulate area, ventral part, layer 5"
"Anterior cingulate area, ventral part, 6a"
"Anterior cingulate area, ventral part, 6b"
"Prelimbic area, layer 1"
"Prelimbic area, layer 2/3"
